TRANSACTIONID,DATE,TIME,CUSTOMERID,ITEMID,ITEMNAME,QUANTITY,UNITPRICE,TOTALPRICE,PAYMENTMETHOD
290191,2024-10-21,,10005491,0018,Mashed Potatoes,4,10.00,40.00,Debit Card
268272,2024-10-19,,10003671,0015,Chocolate Cake Slice,3,6.00,18.00,Debit Card
538195,2024-10-24,,10007421,0001,Freshly Baked Croissant,6,3.50,21.00,Debit Card
793165,2024-10-26,,10007421,0010,Espresso,3,3.00,9.00,Debit Card
389936,2024-10-29,,10006952,0005,Margherita Pizza,2,15.00,30.00,Cash
147359,2024-10-20,,10007435,0006,Fresh Fruit Platter,1,6.00,6.00,Mobile Payment
309726,2024-10-20,,10006952,0015,Chocolate Cake Slice,3,6.00,18.00,Mobile Payment
410366,2024-10-21,,10003671,0010,Espresso,5,3.00,15.00,Credit Card
348462,2024-10-22,,10007421,0020,Vegetarian Lasagna,1,27.00,27.00,Credit Card
828460,2024-10-29,,10003671,0015,Chocolate Cake Slice,6,6.00,36.00,Mobile Payment
726825,2024-10-27,,10007435,0003,Caesar Salad,1,10.00,10.00,Mobile Payment
418955,2024-10-21,,10005491,0007,Assorted Cheese Board,2,18.00,36.00,Debit Card
805205,2024-10-30,,10007435,0002,Avocado Toast,3,8.00,24.00,Cash
640037,2024-10-27,,10005491,0020,Vegetarian Lasagna,1,27.00,27.00,Credit Card
385083,2024-10-20,,10003671,0014,Signature Cocktail,6,12.00,72.00,Debit Card
